Location,Humidity9am,Humidity3pm,AvgHumidity
Sydney,92.0,84.0,88.0
Sydney,83.0,73.0,78.0
Sydney,88.0,86.0,87.0
Sydney,83.0,90.0,86.5
Sydney,88.0,74.0,81.0
Sydney,69.0,62.0,65.5
Sydney,75.0,80.0,77.5
Sydney,77.0,61.0,69.0
Sydney,92.0,91.0,91.5
Sydney,80.0,53.0,66.5
Sydney,78.0,53.0,65.5
Sydney,68.0,67.0,67.5
Sydney,87.0,70.0,78.5
Sydney,81.0,51.0,66.0
Sydney,80.0,56.0,68.0
Sydney,77.0,52.0,64.5
Sydney,63.0,62.0,62.5
Sydney,70.0,59.0,64.5
Sydney,79.0,65.0,72.0
Sydney,80.0,60.0,70.0
Sydney,86.0,62.0,74.0
Sydney,77.0,66.0,71.5
Sydney,38.0,45.0,41.5
Sydney,48.0,40.0,44.0
Sydney,58.0,54.0,56.0
Sydney,73.0,65.0,69.0
Sydney,82.0,52.0,67.0
Sydney,77.0,88.0,82.5
Sydney,65.0,51.0,58.0
Sydney,55.0,46.0,50.5
Sydney,93.0,54.0,73.5
Sydney,78.0,57.0,67.5
Sydney,77.0,57.0,67.0
Sydney,72.0,64.0,68.0
Sydney,67.0,65.0,66.0
Sydney,83.0,75.0,79.0
Sydney,88.0,71.0,79.5
Sydney,82.0,64.0,73.0
Sydney,76.0,50.0,63.0
Sydney,72.0,58.0,65.0
Sydney,77.0,60.0,68.5
Sydney,84.0,69.0,76.5
Sydney,84.0,62.0,73.0
Sydney,80.0,64.0,72.0
Sydney,81.0,69.0,75.0
Sydney,82.0,60.0,71.0
Sydney,73.0,58.0,65.5
Sydney,70.0,60.0,65.0
Sydney,70.0,58.0,64.0
Sydney,87.0,80.0,83.5
Sydney,81.0,60.0,70.5
Sydney,82.0,57.0,69.5
Sydney,95.0,72.0,83.5
Sydney,81.0,58.0,69.5
Sydney,76.0,38.0,57.0
Sydney,52.0,42.0,47.0
Sydney,71.0,51.0,61.0
Sydney,85.0,65.0,75.0
Sydney,61.0,22.0,41.5
Sydney,57.0,31.0,44.0
Sydney,55.0,54.0,54.5
Sydney,75.0,34.0,54.5
Sydney,42.0,21.0,31.5
Sydney,47.0,37.0,42.0
Sydney,71.0,50.0,60.5
Sydney,71.0,55.0,63.0
Sydney,83.0,70.0,76.5
Sydney,86.0,75.0,80.5
Sydney,96.0,62.0,79.0
Sydney,77.0,60.0,68.5
Sydney,83.0,61.0,72.0
Sydney,79.0,59.0,69.0
Sydney,81.0,75.0,78.0
Sydney,82.0,64.0,73.0
Sydney,85.0,71.0,78.0
Sydney,78.0,85.0,81.5
Sydney,91.0,72.0,81.5
Sydney,94.0,75.0,84.5
Sydney,51.0,61.0,56.0
Sydney,79.0,75.0,77.0
Sydney,91.0,70.0,80.5
Sydney,90.0,55.0,72.5
Sydney,90.0,89.0,89.5
Sydney,93.0,80.0,86.5
Sydney,55.0,69.0,62.0
Sydney,81.0,38.0,59.5
Sydney,51.0,28.0,39.5
Sydney,46.0,33.0,39.5
Sydney,54.0,41.0,47.5
Sydney,68.0,50.0,59.0
Sydney,74.0,56.0,65.0
Sydney,65.0,44.0,54.5
Sydney,62.0,52.0,57.0
Sydney,64.0,47.0,55.5
Sydney,71.0,34.0,52.5
Sydney,74.0,48.0,61.0
Sydney,57.0,44.0,50.5
Sydney,63.0,45.0,54.0
Sydney,75.0,60.0,67.5
Sydney,86.0,67.0,76.5
Sydney,84.0,67.0,75.5
Sydney,88.0,63.0,75.5
Sydney,88.0,67.0,77.5
Sydney,82.0,64.0,73.0
Sydney,90.0,60.0,75.0
Sydney,78.0,66.0,72.0
Sydney,52.0,41.0,46.5
Sydney,57.0,36.0,46.5
Sydney,58.0,36.0,47.0
Sydney,64.0,38.0,51.0
Sydney,74.0,64.0,69.0
Sydney,63.0,52.0,57.5
Sydney,76.0,53.0,64.5
Sydney,71.0,39.0,55.0
Sydney,78.0,58.0,68.0
Sydney,81.0,58.0,69.5
Sydney,82.0,71.0,76.5
Sydney,80.0,74.0,77.0
Sydney,86.0,76.0,81.0
Sydney,87.0,58.0,72.5
Sydney,90.0,61.0,75.5
Sydney,91.0,74.0,82.5
Sydney,97.0,90.0,93.5
Sydney,98.0,90.0,94.0
Sydney,87.0,88.0,87.5
Sydney,82.0,84.0,83.0
Sydney,81.0,70.0,75.5
Sydney,76.0,49.0,62.5
Sydney,97.0,71.0,84.0
Sydney,96.0,89.0,92.5
Sydney,98.0,68.0,83.0
Sydney,74.0,70.0,72.0
Sydney,97.0,64.0,80.5
Sydney,67.0,42.0,54.5
Sydney,49.0,52.0,50.5
Sydney,75.0,87.0,81.0
Sydney,86.0,83.0,84.5
Sydney,88.0,73.0,80.5
Sydney,90.0,69.0,79.5
Sydney,91.0,69.0,80.0
Sydney,81.0,60.0,70.5
Sydney,66.0,40.0,53.0
Sydney,61.0,54.0,57.5
Sydney,74.0,43.0,58.5
