,Location,Humidity9am,Humidity3pm
30176,Sydney,92.0,84.0
30177,Sydney,83.0,73.0
30178,Sydney,88.0,86.0
30179,Sydney,83.0,90.0
30180,Sydney,88.0,74.0
30181,Sydney,69.0,62.0
30182,Sydney,75.0,80.0
30183,Sydney,77.0,61.0
30184,Sydney,92.0,91.0
30185,Sydney,80.0,53.0
30186,Sydney,78.0,53.0
30187,Sydney,68.0,67.0
30188,Sydney,87.0,70.0
30189,Sydney,81.0,51.0
30190,Sydney,80.0,56.0
30191,Sydney,77.0,52.0
30192,Sydney,63.0,62.0
30193,Sydney,70.0,59.0
30194,Sydney,79.0,65.0
30195,Sydney,80.0,60.0
30196,Sydney,86.0,62.0
30197,Sydney,77.0,66.0
30198,Sydney,38.0,45.0
30199,Sydney,48.0,40.0
30200,Sydney,58.0,54.0
30201,Sydney,73.0,65.0
30202,Sydney,82.0,52.0
30203,Sydney,77.0,88.0
30204,Sydney,65.0,51.0
30205,Sydney,55.0,46.0
30206,Sydney,93.0,54.0
30207,Sydney,78.0,57.0
30208,Sydney,77.0,57.0
30209,Sydney,72.0,64.0
30210,Sydney,67.0,65.0
30211,Sydney,83.0,75.0
30212,Sydney,88.0,71.0
30213,Sydney,82.0,64.0
30214,Sydney,76.0,50.0
30215,Sydney,72.0,58.0
30216,Sydney,77.0,60.0
30217,Sydney,84.0,69.0
30218,Sydney,84.0,62.0
30219,Sydney,80.0,64.0
30220,Sydney,81.0,69.0
30221,Sydney,82.0,60.0
30222,Sydney,73.0,58.0
30223,Sydney,70.0,60.0
30224,Sydney,70.0,58.0
30225,Sydney,87.0,80.0
30226,Sydney,81.0,60.0
30227,Sydney,82.0,57.0
30228,Sydney,95.0,72.0
30229,Sydney,81.0,58.0
30230,Sydney,76.0,38.0
30231,Sydney,52.0,42.0
30232,Sydney,71.0,51.0
30233,Sydney,85.0,65.0
30234,Sydney,61.0,22.0
30235,Sydney,57.0,31.0
30236,Sydney,55.0,54.0
30237,Sydney,75.0,34.0
30238,Sydney,42.0,21.0
30239,Sydney,47.0,37.0
30240,Sydney,71.0,50.0
30241,Sydney,71.0,55.0
30242,Sydney,83.0,70.0
30243,Sydney,86.0,75.0
30244,Sydney,96.0,62.0
30245,Sydney,77.0,60.0
30246,Sydney,83.0,61.0
30247,Sydney,79.0,59.0
30248,Sydney,81.0,75.0
30249,Sydney,82.0,64.0
30250,Sydney,85.0,71.0
30251,Sydney,78.0,85.0
30252,Sydney,91.0,72.0
30253,Sydney,94.0,75.0
30254,Sydney,51.0,61.0
30255,Sydney,79.0,75.0
30256,Sydney,91.0,70.0
30257,Sydney,90.0,55.0
30258,Sydney,90.0,89.0
30259,Sydney,93.0,80.0
30260,Sydney,55.0,69.0
30261,Sydney,81.0,38.0
30262,Sydney,51.0,28.0
30263,Sydney,46.0,33.0
30264,Sydney,54.0,41.0
30265,Sydney,68.0,50.0
30266,Sydney,74.0,56.0
30267,Sydney,65.0,44.0
30268,Sydney,62.0,52.0
30269,Sydney,64.0,47.0
30270,Sydney,71.0,34.0
30271,Sydney,74.0,48.0
30272,Sydney,57.0,44.0
30273,Sydney,63.0,45.0
30274,Sydney,75.0,60.0
30275,Sydney,86.0,67.0
30276,Sydney,84.0,67.0
30277,Sydney,88.0,63.0
30278,Sydney,88.0,67.0
30279,Sydney,82.0,64.0
30280,Sydney,90.0,60.0
30281,Sydney,78.0,66.0
30282,Sydney,52.0,41.0
30283,Sydney,57.0,36.0
30284,Sydney,58.0,36.0
30285,Sydney,64.0,38.0
30286,Sydney,74.0,64.0
30287,Sydney,63.0,52.0
30288,Sydney,76.0,53.0
30289,Sydney,71.0,39.0
30290,Sydney,78.0,58.0
30291,Sydney,81.0,58.0
30292,Sydney,82.0,71.0
30293,Sydney,80.0,74.0
30294,Sydney,86.0,76.0
30295,Sydney,87.0,58.0
30296,Sydney,90.0,61.0
30297,Sydney,91.0,74.0
30298,Sydney,97.0,90.0
30299,Sydney,98.0,90.0
30300,Sydney,87.0,88.0
30301,Sydney,82.0,84.0
30302,Sydney,81.0,70.0
30303,Sydney,76.0,49.0
30304,Sydney,97.0,71.0
30305,Sydney,96.0,89.0
30306,Sydney,98.0,68.0
30307,Sydney,74.0,70.0
30308,Sydney,97.0,64.0
30309,Sydney,67.0,42.0
30310,Sydney,49.0,52.0
30311,Sydney,75.0,87.0
30312,Sydney,86.0,83.0
30313,Sydney,88.0,73.0
30314,Sydney,90.0,69.0
30315,Sydney,91.0,69.0
30316,Sydney,81.0,60.0
30317,Sydney,66.0,40.0
30318,Sydney,61.0,54.0
30319,Sydney,74.0,43.0
30320,Sydney,72.0,45.0
30321,Sydney,69.0,43.0
30322,Sydney,47.0,38.0
30323,Sydney,57.0,32.0
30324,Sydney,68.0,43.0
30325,Sydney,84.0,42.0
30326,Sydney,47.0,35.0
30327,Sydney,45.0,34.0
30328,Sydney,55.0,35.0
30329,Sydney,63.0,42.0
30330,Sydney,84.0,88.0
30331,Sydney,78.0,48.0
30332,Sydney,84.0,59.0
30333,Sydney,87.0,55.0
30334,Sydney,80.0,49.0
30335,Sydney,57.0,43.0
30336,Sydney,58.0,38.0
30337,Sydney,46.0,27.0
30338,Sydney,67.0,45.0
30339,Sydney,67.0,58.0
30340,Sydney,80.0,54.0
30341,Sydney,81.0,70.0
30342,Sydney,81.0,50.0
30343,Sydney,84.0,38.0
30344,Sydney,73.0,21.0
30345,Sydney,53.0,32.0
30346,Sydney,41.0,55.0
30347,Sydney,56.0,31.0
30348,Sydney,52.0,31.0
30349,Sydney,67.0,61.0
30350,Sydney,95.0,70.0
30351,Sydney,93.0,81.0
30352,Sydney,79.0,47.0
30353,Sydney,71.0,41.0
30354,Sydney,79.0,79.0
30355,Sydney,86.0,59.0
30356,Sydney,65.0,43.0
30357,Sydney,71.0,42.0
30358,Sydney,40.0,46.0
30359,Sydney,48.0,32.0
30360,Sydney,52.0,34.0
30361,Sydney,62.0,45.0
30362,Sydney,67.0,52.0
30363,Sydney,89.0,70.0
30364,Sydney,74.0,75.0
30365,Sydney,58.0,38.0
30366,Sydney,56.0,37.0
30367,Sydney,62.0,38.0
30368,Sydney,46.0,35.0
30369,Sydney,50.0,28.0
30370,Sydney,49.0,34.0
30371,Sydney,51.0,28.0
30372,Sydney,49.0,33.0
30373,Sydney,48.0,42.0
30374,Sydney,45.0,35.0
30375,Sydney,59.0,33.0
30376,Sydney,65.0,32.0
30377,Sydney,58.0,35.0
30378,Sydney,58.0,44.0
